TR:primary:CellLine,TR:hepg2:CellLine,TR:prihu:CellLine,TR:hep3b:CellLine,TR:huh7:CellLine,TR:focus:CellLine,TR:NOCYTO,TR:il1a,TR:tgfa,TR:il6,TR:ins,TR:tnfa,TR:NOINHIB,TR:pi3ki,TR:meki,TR:ikki,DA:akt,DA:erk,DA:gsk3,DA:ikb,DA:jnk,DA:p38,DA:p70s6,DA:p90rsk,DA:stat3,DA:cjun,DA:creb,DA:histh3,DA:hsp27,DA:irs1s,DA:mek,DA:p53,DA:stat2,DA:tyk2,DV:akt,DV:erk,DV:gsk3,DV:ikb,DV:jnk,DV:p38,DV:p70s6,DV:p90rsk,DV:stat3,DV:cjun,DV:creb,DV:histh3,DV:hsp27,DV:irs1s,DV:mek,DV:p53,DV:stat2,DV:tyk2
BOOLY_4Huh7_IL1+INS_PI3K_c08rB,,,,1,,,1,,,1,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8726,9748,8076,1605,5410,2259,23687,934,75,21678,1323,2329,4806,4658,24690,1059,254,4875
BOOLY_4Huh7_IL1+INS_MEK_c08rB,,,,1,,,1,,,1,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24275,2579,9796,1709,5647,2168,25297,733,77,24694,983,1976,5366,5138,27628,917,514,5032
BOOLY_4Huh7_IL1+INS_IKK_c08rD,,,,1,,,1,,,1,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17222,8756,9414,1141,2154,1655,23373,1044,46,12301,826,1183,2047,4789,24553,1172,291,4259
BOOLY_4Huh7_IL1+INS_PI3K+MEK_c08rE,,,,1,,,1,,,1,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,9898,3078,7048,1420,4938,1947,23530,776,85,25112,802,2432,4388,3713,27754,893,484,5543
BOOLY_4Huh7_IL1+INS_MEK+IKK_c08rF,,,,1,,,1,,,1,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19583,1971,8707,1345,2905,1149,24129,708,48,18497,360,789,1682,4207,27945,857,499,4133
BOOLY_4Huh7_IL1+INS_IKK+PI3K_c08rG,,,,1,,,1,,,1,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3920,11453,6227,1307,1751,1573,16589,1003,40,14153,695,863,1740,3510,25042,779,253,3854
BOOLY_4Huh7_IL1+INS_PI3K+MEK+IKK_c08rH,,,,1,,,1,,,1,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7607,1944,4059,2086,1489,1039,12997,667,53,15418,239,757,1164,2325,27163,802,398,3923
BOOLY_4Huh7_IL6+INS_NOINH_c09rA,,,,1,,,,,1,1,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23222,13859,11686,385,373,241,24535,1479,8212,9534,728,1797,724,4171,24519,679,420,5636
BOOLY_4Huh7_IL6+INS_PI3K_c09rB,,,,1,,,,,1,1,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,9197,13380,8946,389,214,174,23167,1285,9182,5162,614,1937,718,3969,24817,647,483,5800
BOOLY_4Huh7_IL6+INS_MEK_c09rB,,,,1,,,,,1,1,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24152,4625,10412,593,618,353,23568,872,8603,22945,345,2061,672,3911,27390,1046,749,5518
BOOLY_4Huh7_IL6+INS_IKK_c09rD,,,,1,,,,,1,1,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15778,4407,9512,262,218,70,23789,847,36,1268,123,807,925,3752,19175,691,196,4448
BOOLY_4Huh7_IL6+INS_PI3K+MEK_c09rE,,,,1,,,,,1,1,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,9774,5151,6909,620,465,275,15974,907,10463,20817,275,2558,743,2071,27620,740,754,5910
BOOLY_4Huh7_IL6+INS_MEK+IKK_c09rF,,,,1,,,,,1,1,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16111,1980,9575,562,403,238,23534,670,52,4089,147,834,921,3383,27856,900,538,4268
BOOLY_4Huh7_IL6+INS_IKK+PI3K_c09rG,,,,1,,,,,1,1,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1998,4638,2720,217,103,62,5720,676,33,854,114,593,673,1388,19996,490,159,2928
BOOLY_4Huh7_IL6+INS_PI3K+MEK+IKK_c09rH,,,,1,,,,,1,1,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6612,1874,3422,517,365,180,6267,614,70,2564,132,839,809,2218,27601,1322,510,4169
BOOLY_4Huh7_TGFa+INS_NOINH_c10rA,,,,1,,,,1,,1,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23612,23299,13545,503,774,393,24503,1843,76,20346,2275,2307,840,6225,26848,786,372,6678
BOOLY_4Huh7_TGFa+INS_PI3K_c10rB,,,,1,,,,1,,1,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8630,23592,14404,540,742,288,24360,2188,84,22873,2245,2840,860,6293,26949,747,406,7560
BOOLY_4Huh7_TGFa+INS_MEK_c10rB,,,,1,,,,1,,1,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25001,9905,13224,759,1146,650,24783,1211,123,24650,923,2537,858,4965,28158,958,663,8622
BOOLY_4Huh7_TGFa+INS_IKK_c10rD,,,,1,,,,1,,1,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19466,24053,13436,435,644,386,23960,2452,65,9189,2910,1265,908,8090,26629,893,519,5708
BOOLY_4Huh7_TGFa+INS_PI3K+MEK_c10rE,,,,1,,,,1,,1,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,14606,9526,9089,678,1364,643,23114,1141,128,24313,731,2596,911,2959,28114,869,618,8211
BOOLY_4Huh7_TGFa+INS_MEK+IKK_c10rF,,,,1,,,,1,,1,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23607,11396,13749,664,897,663,21888,1288,90,13284,593,360,376,1554,28780,734,592,5651
BOOLY_4Huh7_TGFa+INS_IKK+PI3K_c10rG,,,,1,,,,1,,1,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2520,24547,12617,637,624,477,23817,2070,55,12809,2440,1075,1023,6316,27917,857,565,4739
BOOLY_4Huh7_TGFa+INS_PI3K+MEK+IKK_c10rH,,,,1,,,,1,,1,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,12415,9819,6841,540,637,522,16385,962,57,13532,473,753,734,2582,28441,678,496,5483
BOOLY_4Huh7_TGFa+TNF_NOINH_c11rA,,,,1,,,,1,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22343,23335,11215,1406,3959,1950,24767,1673,60,23870,2672,2354,2991,7572,26045,766,339,4887
BOOLY_4Huh7_TGFa+TNF_PI3K_c11rB,,,,1,,,,1,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1939,19592,9797,1342,2646,2172,23375,1367,85,23951,2048,2807,1798,6544,26677,1102,393,5121
BOOLY_4Huh7_TGFa+TNF_MEK_c11rB,,,,1,,,,1,,,1,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24921,7644,11732,1584,4214,2630,25087,1075,104,25962,1813,2164,3932,5921,28260,918,651,6479
BOOLY_4Huh7_TGFa+TNF_IKK_c11rD,,,,1,,,,1,,,1,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19503,23891,13353,970,3359,2036,25085,2328,47,23300,3139,1300,2166,7889,27312,951,510,6528
BOOLY_4Huh7_TGFa+TNF_PI3K+MEK_c11rE,,,,1,,,,1,,,1,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7822,8021,5690,1107,2609,1615,21937,948,76,23990,1285,1676,3253,3922,27869,631,464,6324
BOOLY_4Huh7_TGFa+TNF_MEK+IKK_c11rF,,,,1,,,,1,,,1,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24011,10548,12722,1037,4603,2101,24901,1198,61,23051,1407,844,2567,6220,28217,905,695,7712
BOOLY_4Huh7_TGFa+TNF_IKK+PI3K_c11rG,,,,1,,,,1,,,1,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1387,24786,12614,982,3209,2025,23023,2042,54,18678,2804,992,2089,7188,28042,877,539,4314
BOOLY_4Huh7_TGFa+TNF_PI3K+MEK+IKK_c11rH,,,,1,,,,1,,,1,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,12004,11980,10691,1573,4266,2467,24239,1188,78,23820,1170,852,2087,4857,28539,875,714,7682
BOOLY_4Huh7_DME_NOINH_c12rA,,,,1,,1,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,5141,4273,379,187,73,23463,712,98,3603,157,1497,606,3004,17349,461,180,3317
BOOLY_4Huh7_DME_PI3K_c12rB,,,,1,,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,4963,2083,353,252,87,10453,733,83,3561,178,2429,586,1838,21518,492,142,3670
BOOLY_4Huh7_DME_MEK_c12rB,,,,1,,1,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6524,2208,5781,607,507,307,23043,598,94,11434,186,2029,623,3165,27721,564,439,3387
BOOLY_4Huh7_DME_IKK_c12rD,,,,1,,1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,3404,2491,251,203,63,11396,672,27,1050,107,769,700,2058,18832,523,174,2676
BOOLY_4Huh7_DME_PI3K+MEK_c12rE,,,,1,,1,,,,,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,2544,1825,548,328,277,7086,658,110,10063,180,2097,635,1254,27461,593,351,3108
BOOLY_4Huh7_DME_MEK+IKK_c12rF,,,,1,,1,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,1655,2876,472,250,221,9999,574,45,4066,152,622,717,1856,27939,551,432,2875
BOOLY_4Huh7_DME_IKK+PI3K_c12rG,,,,1,,1,,,,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,4566,1361,327,205,73,6054,763,30,1597,105,657,772,1587,23323,549,196,3092
BOOLY_4Huh7_DME_PI3K+MEK+IKK_c12rH,,,,1,,1,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,2002,1205,441,274,199,4223,576,45,3265,138,598,650,1191,27962,503,419,2545
BOOLY_Focus_DME_NOINH_c01rA,,,,,1,1,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6073,10129,9721,379,163,151,7043,815,688,10156,177,1955,665,1389,6112,354,133,3644
BOOLY_Focus_DME_PI3K_c01rB,,,,,1,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,5291,4297,462,194,179,4924,618,1032,15817,149,4359,912,1493,3689,371,141,3347
BOOLY_Focus_DME_MEK_c01rC,,,,,1,1,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5745,1235,9846,441,174,192,5473,572,794,9013,162,2719,655,1282,18748,420,171,3811
BOOLY_Focus_DME_IKK_c01rD,,,,,1,1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2635,2039,5704,252,118,116,5203,519,31,4008,138,633,880,1764,1992,362,135,2795
BOOLY_Focus_DME_PI3K+MEK_c01rE,,,,,1,1,,,,,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,871,3696,392,176,194,4100,531,913,8336,158,4125,749,1312,14770,487,163,3490
BOOLY_Focus_DME_MEK+IKK_c01rF,,,,,1,1,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2135,828,4456,218,103,79,5006,441,34,3028,164,608,853,1633,1956,395,108,3507
BOOLY_Focus_DME_IKK+PI3K_c01rG,,,,,1,1,,,,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,1822,3611,233,157,109,5436,521,40,5204,150,655,1156,1978,1710,711,171,3813
BOOLY_Focus_DME_PI3K+MEK+IKK_c01rH,,,,,1,1,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,1129,4423,254,157,103,5309,584,36,5905,142,621,1185,1979,1655,529,155,3521
BOOLY_Focus_DME_NOINH_c01rA,,,,,1,1,,,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6073,10129,9721,379,163,151,7043,815,688,10156,177,1955,665,1389,6112,354,133,3644
BOOLY_Focus_DME_PI3K_c01rB,,,,,1,1,,,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,568,5291,4297,462,194,179,4924,618,1032,15817,149,4359,912,1493,3689,371,141,3347
BOOLY_Focus_DME_MEK_c01rC,,,,,1,1,,,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5745,1235,9846,441,174,192,5473,572,794,9013,162,2719,655,1282,18748,420,171,3811
BOOLY_Focus_DME_IKK_c01rD,,,,,1,1,,,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2635,2039,5704,252,118,116,5203,519,31,4008,138,633,880,1764,1992,362,135,2795
BOOLY_Focus_DME_PI3K+MEK_c01rE,,,,,1,1,,,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,517,871,3696,392,176,194,4100,531,913,8336,158,4125,749,1312,14770,487,163,3490
BOOLY_Focus_DME_MEK+IKK_c01rF,,,,,1,1,,,,,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2135,828,4456,218,103,79,5006,441,34,3028,164,608,853,1633,1956,395,108,3507
BOOLY_Focus_DME_IKK+PI3K_c01rG,,,,,1,1,,,,,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,457,1822,3611,233,157,109,5436,521,40,5204,150,655,1156,1978,1710,711,171,3813
BOOLY_Focus_DME_PI3K+MEK+IKK_c01rH,,,,,1,1,,,,,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,429,1129,4423,254,157,103,5309,584,36,5905,142,621,1185,1979,1655,529,155,3521
BOOLY_Focus_IL1a_NOINH_c02rA,,,,,1,,1,,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5658,9414,8558,580,273,174,6155,867,620,7599,208,2495,833,1868,5849,1379,228,5444
BOOLY_Focus_IL1a_PI3K_c02rB,,,,,1,,1,,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,755,4946,5473,517,252,179,5939,787,1114,13976,211,4919,1060,1745,3485,908,226,5038
BOOLY_Focus_IL1a_MEK_c02rC,,,,,1,,1,,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6601,1346,10864,525,141,140,6301,495,927,11477,141,2029,572,1065,23183,435,170,3602
BOOLY_Focus_IL1a_IKK_c02rD,,,,,1,,1,,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2809,2673,6977,293,175,112,5943,545,38,4132,112,959,1041,1816,1892,648,164,3317
BOOLY_Focus_IL1a_PI3K+MEK_c02rE,,,,,1,,1,,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,585,1123,2304,393,185,150,3496,479,899,10245,117,4464,679,1329,23039,568,147,3574
BOOLY_Focus_IL1a_MEK+IKK_c02rF,,,,,1,,1,,,,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2466,1079,6767,241,239,126,5490,589,35,4304,145,1083,917,1917,2978,1297,173,4555
BOOLY_Focus_IL1a_IKK+PI3K_c02rG,,,,,1,,1,,,,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,545,2269,3885,288,268,128,5307,729,43,5508,127,1046,1153,2273,2108,1393,225,4650
BOOLY_Focus_IL1a_PI3K+MEK+IKK_c02rH,,,,,1,,1,,,,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,539,1087,3631,263,223,131,4644,524,40,4797,135,832,981,2020,2925,1218,197,4295
BOOLY_Focus_TGFa_NOINH_c03rA,,,,,1,,,1,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23605,26603,23456,704,671,396,22020,1541,526,23813,1135,2015,810,3200,27467,732,579,7426
BOOLY_Focus_TGFa_PI3K_c03rB,,,,,1,,,1,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4881,26643,17694,836,821,382,17092,1712,746,24880,974,4804,930,3487,27703,966,565,8444
BOOLY_Focus_TGFa_MEK_c03rC,,,,,1,,,1,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24116,7071,23627,674,1197,479,19370,745,1050,24330,407,2375,838,2336,27617,946,475,8206
BOOLY_Focus_TGFa_IKK_c03rD,,,,,1,,,1,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23562,26617,23704,710,705,375,23455,1966,58,20952,1490,1111,908,4004,27725,944,615,5987
BOOLY_Focus_TGFa_PI3K+MEK_c03rE,,,,,1,,,1,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5798,5275,11714,704,771,378,7673,729,935,23428,241,4321,840,1708,27959,801,397,7271
BOOLY_Focus_TGFa_MEK+IKK_c03rF,,,,,1,,,1,,,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23981,5996,23280,397,577,376,20599,766,63,18285,281,889,956,2361,27850,661,404,8486
BOOLY_Focus_TGFa_IKK+PI3K_c03rG,,,,,1,,,1,,,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1505,26326,10822,556,559,442,16784,1879,67,16829,1295,1053,1140,3405,27492,1355,577,7011
BOOLY_Focus_TGFa_PI3K+MEK+IKK_c03rH,,,,,1,,,1,,,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3196,5326,6634,340,555,320,5026,630,48,10460,212,901,862,1891,26895,1393,461,6377
BOOLY_Focus_IL6_NOINH_c04rA,,,,,1,,,,1,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,14653,14249,5158,569,470,224,8687,658,13531,15331,302,1575,1117,1305,19701,424,286,4539
BOOLY_Focus_IL6_PI3K_c04rB,,,,,1,,,,1,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,723,9776,5530,439,210,207,5510,826,14434,10363,195,3219,884,1626,3855,768,345,4797
BOOLY_Focus_IL6_MEK_c04rC,,,,,1,,,,1,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6065,1767,9900,378,362,280,7703,577,15551,12420,147,3793,790,1747,24003,1545,448,5930
BOOLY_Focus_IL6_IKK_c04rD,,,,,1,,,,1,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3245,3601,7873,266,157,93,6307,602,43,3851,140,1693,859,1554,2513,770,156,3990
BOOLY_Focus_IL6_PI3K+MEK_c04rE,,,,,1,,,,1,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,693,1343,4038,463,247,212,3659,468,14941,10502,146,2537,679,1126,24740,966,305,4922
BOOLY_Focus_IL6_MEK+IKK_c04rF,,,,,1,,,,1,,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3870,1224,8444,239,132,144,5729,525,47,4312,142,1240,854,1575,9112,932,130,4032
BOOLY_Focus_IL6_IKK+PI3K_c04rG,,,,,1,,,,1,,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,629,3533,2728,235,257,146,6331,648,47,7263,112,1550,1279,2339,2708,1353,239,5356
BOOLY_Focus_IL6_PI3K+MEK+IKK_c04rH,,,,,1,,,,1,,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,791,1526,3397,330,457,201,5261,770,74,4636,210,1913,1392,2606,13812,2247,448,5641
BOOLY_Focus_INS_NOINH_c05rA,,,,,1,,,,,1,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25084,15980,24553,514,218,213,23132,1081,764,11589,261,2824,960,2226,7002,1166,259,6859
BOOLY_Focus_INS_PI3K_c05rB,,,,,1,,,,,1,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23025,11171,20746,494,134,111,15032,764,773,6262,180,3157,662,1606,4854,557,287,4620
BOOLY_Focus_INS_MEK_c05rB,,,,,1,,,,,1,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24518,1524,23423,427,185,190,17631,619,914,10268,216,2028,634,1445,24489,589,234,4344
BOOLY_Focus_INS_IKK_c05rD,,,,,1,,,,,1,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24481,5442,23550,264,268,156,16671,715,47,3192,165,1618,945,2444,4227,1589,238,6460
BOOLY_Focus_INS_PI3K+MEK_c05rE,,,,,1,,,,,1,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19784,1463,19779,455,220,170,9729,546,892,8765,196,2681,747,1589,24905,1057,302,4844
BOOLY_Focus_INS_MEK+IKK_c05rF,,,,,1,,,,,1,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23691,1387,23200,306,306,174,17641,677,44,4575,161,1200,833,2284,14903,1365,248,5079
BOOLY_Focus_INS_IKK+PI3K_c05rG,,,,,1,,,,,1,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,13450,4923,16919,268,387,161,8551,908,59,4542,212,1782,1226,2830,3441,2569,317,6202
BOOLY_Focus_INS_PI3K+MEK+IKK_c05rH,,,,,1,,,,,1,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19617,1172,18593,274,167,126,8551,628,40,4264,138,1229,970,2007,12985,1063,224,4557
BOOLY_Focus_TNFa_NOINH_c06rA,,,,,1,,,,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,13290,24802,17760,1049,1820,1154,15599,1208,318,25942,2494,2462,3176,3430,20708,1869,403,5835
BOOLY_Focus_TNFa_PI3K_c06rB,,,,,1,,,,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,995,24360,9528,1537,2372,854,15513,1176,270,25428,2539,3034,4685,2976,19444,810,208,4903
BOOLY_Focus_TNFa_MEK_c06rB,,,,,1,,,,,,1,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,13904,1561,15506,1203,3268,1183,17340,705,503,24995,1943,2209,6134,2820,25794,1435,389,5109
BOOLY_Focus_TNFa_IKK_c06rD,,,,,1,,,,,,1,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7722,22097,13913,1251,1823,793,13620,900,39,23214,1649,1043,2952,2435,13729,685,190,4008
BOOLY_Focus_TNFa_PI3K+MEK_c06rE,,,,,1,,,,,,1,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,661,1324,3345,1117,2494,1232,10790,678,376,23861,1399,3903,5492,2383,25018,1573,283,5080
BOOLY_Focus_TNFa_MEK+IKK_c06rF,,,,,1,,,,,,1,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3989,1021,8717,1977,1451,726,10500,494,30,23708,811,656,2214,1670,21005,449,163,3038
BOOLY_Focus_TNFa_IKK+PI3K_c06rG,,,,,1,,,,,,1,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,727,16202,5587,2717,1411,911,10112,938,67,24359,975,1240,2063,2725,10346,1628,236,5561
BOOLY_Focus_TNFa_PI3K+MEK+IKK_c06rH,,,,,1,,,,,,1,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,665,1068,3684,2208,1550,945,8749,544,38,24612,661,717,2213,1998,19271,559,210,3508
BOOLY_Focus_IL1+INS_NOINH_c08rA,,,,,1,,1,,,1,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24204,21638,23673,590,187,261,19476,1005,656,9392,246,1657,801,2029,9222,780,212,5453
BOOLY_Focus_IL1+INS_PI3K_c08rB,,,,,1,,1,,,1,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20358,11585,22409,555,338,202,15118,919,749,9159,209,3582,929,2214,6514,1405,329,5863
BOOLY_Focus_IL1+INS_MEK_c08rB,,,,,1,,1,,,1,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24981,2741,24038,918,477,337,22623,788,1329,19754,241,3594,1087,2545,26086,1181,442,7848
BOOLY_Focus_IL1+INS_IKK_c08rD,,,,,1,,1,,,1,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24006,5109,21914,381,176,194,16724,780,41,3399,163,1385,941,1987,3240,744,194,3997
BOOLY_Focus_IL1+INS_PI3K+MEK_c08rE,,,,,1,,1,,,1,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15981,2019,20511,593,224,241,11439,623,912,10967,185,3286,790,1505,26368,582,263,4813
BOOLY_Focus_IL1+INS_MEK+IKK_c08rF,,,,,1,,1,,,1,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23733,1209,21509,365,158,190,18744,596,35,4625,181,813,849,1934,14583,632,226,4207
BOOLY_Focus_IL1+INS_IKK+PI3K_c08rG,,,,,1,,1,,,1,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15201,3774,15139,329,139,147,7559,604,27,4014,155,887,901,1780,3063,524,177,3865
BOOLY_Focus_IL1+INS_PI3K+MEK+IKK_c08rH,,,,,1,,1,,,1,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20146,1168,18040,417,144,198,10967,674,40,5538,210,758,1045,1930,22383,539,217,4289
BOOLY_Focus_IL6+INS_NOINH_c09rA,,,,,1,,,,1,1,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23980,23193,20234,409,272,270,16975,1057,11161,8023,293,1498,716,2082,10203,1205,309,5863
BOOLY_Focus_IL6+INS_PI3K_c09rB,,,,,1,,,,1,1,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22591,23093,22756,394,152,165,17227,972,12773,6190,261,2653,761,1918,9674,588,259,5176
