TR:primary:CellLine,TR:hepg2:CellLine,TR:prihu:CellLine,TR:hep3b:CellLine,TR:huh7:CellLine,TR:focus:CellLine,TR:NOCYTO,TR:il1a,TR:tgfa,TR:il6,TR:ins,TR:tnfa,TR:NOINHIB,TR:pi3ki,TR:meki,TR:ikki,DA:akt,DA:erk,DA:gsk3,DA:ikb,DA:jnk,DA:p38,DA:p70s6,DA:p90rsk,DA:stat3,DA:cjun,DA:creb,DA:histh3,DA:hsp27,DA:irs1s,DA:mek,DA:p53,DA:stat2,DA:tyk2,DV:akt,DV:erk,DV:gsk3,DV:ikb,DV:jnk,DV:p38,DV:p70s6,DV:p90rsk,DV:stat3,DV:cjun,DV:creb,DV:histh3,DV:hsp27,DV:irs1s,DV:mek,DV:p53,DV:stat2,DV:tyk2
BOOLY_Hep3B_TGFa+TNF_IKK+PI3K_c11rG,,,1,,,,,1,,,1,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1905,26014,4609,1012,1325,1511,21102,966,66,15339,1661,1569,1312,6102,25373,1972,594,5227
BOOLY_Hep3B_TGFa+TNF_PI3K+MEK+IKK_c11rH,,,1,,,,,1,,,1,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4782,14412,6655,1467,737,698,13417,984,61,12015,685,1275,788,2956,26502,1829,461,5206
BOOLY_Hep3B_DME_NOINH_c12rA,,,1,,,1,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6726,14838,5114,298,190,73,9383,552,35,2151,115,1284,334,1086,9931,759,183,2816
BOOLY_Hep3B_DME_PI3K_c12rB,,,1,,,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,8221,1195,250,102,55,4261,404,27,311,68,813,151,562,5330,321,89,1832
BOOLY_Hep3B_DME_MEK_c12rB,,,1,,,1,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5435,2646,4950,411,420,183,7018,634,54,6127,182,1849,671,2208,24226,1392,358,3551
BOOLY_Hep3B_DME_IKK_c12rD,,,1,,,1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,5341,2108,241,118,60,4438,416,28,764,92,659,386,1226,7014,344,117,1686
BOOLY_Hep3B_DME_PI3K+MEK_c12rE,,,1,,,1,,,,,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927,3185,2022,360,178,119,4090,426,31,5199,154,2249,320,808,24942,423,215,2266
BOOLY_Hep3B_DME_MEK+IKK_c12rF,,,1,,,1,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,3265,1077,228,124,109,2717,359,25,821,88,280,183,596,25330,170,143,1367
BOOLY_Hep3B_DME_IKK+PI3K_c12rG,,,1,,,1,,,,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,5190,572,200,110,50,4284,388,22,1400,99,522,324,1013,7199,236,102,1618
BOOLY_Hep3B_DME_PI3K+MEK+IKK_c12rH,,,1,,,1,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,2245,598,262,127,90,3040,434,30,1180,88,344,246,603,24738,249,173,1917
BOOLY_4Huh7_DME_NOINH_c01rA,,,,1,,1,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2628,4572,2464,403,282,154,11137,621,170,3372,223,2081,537,1718,20543,624,207,2597
BOOLY_4Huh7_DME_PI3K_c01rB,,,,1,,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,5154,1711,398,239,83,7988,769,81,2404,142,2891,743,1624,22137,548,184,3447
BOOLY_4Huh7_DME_MEK_c01rC,,,,1,,1,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6269,3083,6349,661,406,191,23663,971,109,16729,222,2584,952,3477,27786,807,469,3844
