ID:1,ID:2,ID:3,TR:HepG2:CellLine,TR:NOCYTO,TR:TGFa,TR:IL1a,TR:IGF1,TR:IL6,TR:NOINHIB,TR:MEK12i,TR:P38i,TR:PI3Ki,TR:IKKi,TR:EGFRi-Gefin,DA:AKT (75),DA:ERK12 (38),DA:GSK3 (18),DA:Ikb (58),DA:JNK12 (34),DA:p38 (36),DA:p70S6 (55),DA:p90RSK (35),DA:STAT3 (52),DA:cJUN (56),DA:CREB (19),DA:HSP27 (51),DA:IRS1s (76),DA:MEK12 (40),DA:p53 (53),DV:AKT (75),DV:ERK12 (38),DV:GSK3 (18),DV:Ikb (58),DV:JNK12 (34),DV:p38 (36),DV:p70S6 (55),DV:p90RSK (35),DV:STAT3 (52),DV:cJUN (56),DV:CREB (19),DV:HSP27 (51),DV:IRS1s (76),DV:MEK12 (40),DV:p53 (53)
X14,F2,PL2_30min_X14_02F_IGF_TGF_MEK,1,,1,,1,,,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23762,232,2926,203.5,182,99.5,4570,209.5,268,5292,226.5,226,1138.5,15493,470
X15,G2,PL2_30min_X15_02G_IL6_IL1a_MEK,1,,,1,,1,,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6579,159,594,4432,1402,1646,9459.5,205,10204,9026,1966.5,4362,5818,9266,792.5
X16,H2,PL2_30min_X16_02H_DME_MEK,1,1,,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084,148,362,147,114,47.5,633,149.5,319,1906,95.5,230.5,646,2528,505
X17,A3,PL2_30min_X17_03A_DME_p38,1,1,,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2857,367.5,440,192.5,102,55,1553,458,172,3023,125,228,737,3180,397
X18,B3,PL2_30min_X18_03B_TGFa_p38,1,,1,,,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7338,1979,2486.5,228,160,116,11392,1890,204,6328.5,489,324,4139.5,7259.5,572
X19,C3,PL2_30min_X19_03C_IL1a_p38,1,,,1,,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2856,895,1245,4858,2007,1703,14689,854,103,15179.5,1811,960.5,6349,4903,1057
X20,D3,PL2_30min_X20_03D_IGF_p38,1,,,,1,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22810.5,425,2110,202,155,58.5,5411,474.5,219.5,3854,148,291,1513,2991,513.5
X21,E3,PL2_30min_X21_03E_IL6_p38,1,,,,,1,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3409,1005,1163,194,144,191.5,6935.5,906,14194.5,4145,342,225,2317,5572,456.5
X22,F3,PL2_30min_X22_03F_IGF_TGF_p38,1,,1,,1,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23266,3062,2570,187,114,80,14577.5,1820,136.5,5488,688,248.5,4341.5,7496.5,440
X23,G3,PL2_30min_X23_03G_IL6_IL1a_p38,1,,,1,,1,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2227,1436,1115,5222,2114,988.5,15453.5,1525,10857,13328,2319,1278,6641,7423,1016.5
X24,H3,PL2_30min_X24_03H_DME_p38,1,1,,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3746,355,851,216,125,61,1840,425,239.5,3006,120,276,929.5,2974.5,520.5
X25,A4,PL2_30min_X25_04A_DME_PI3K,1,1,,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.5,420.5,605,198,141.5,64,1611.5,581,214.5,2392.5,158.5,257,709,2919.5,374
X26,B4,PL2_30min_X26_04B_TGFa_PI3K,1,,1,,,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,826.5,1750.5,1184,183,130,117.5,9108,1339,192,4176,560,243,3569,6507,430.5
X27,C4,PL2_30min_X27_04C_IL1a_PI3K,1,,,1,,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,290,895,1019.5,6456,2079.5,3100,15200,954,104,17809,2374.5,6543,7567,4404,962
X28,D4,PL2_30min_X28_04D_IGF_PI3K,1,,,,1,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,14500,413,1833,210,166,69.5,3382.5,490,283,3618,145.5,346,1208.5,3195,540.5
X29,E4,PL2_30min_X29_04E_IL6_PI3K,1,,,,,1,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,688,904,1448,181,146.5,174,6356.5,1071,14648,4225,465.5,226,2072,6096,468.5
X30,F4,PL2_30min_X30_04F_IGF_TGF_PI3K,1,,1,,1,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17198,2520,2561,216.5,176,174,14370,1820,263,5852,945,344,5082,8045,481.5
X31,G4,PL2_30min_X31_04G_IL6_IL1a_PI3K,1,,,1,,1,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,337.5,1530.5,1762,6361,3068,2941,16452,1653,11632,21442.5,3300,8543.5,9465,6788.5,1429
X32,H4,PL2_30min_X32_04H_DME_PI3K,1,1,,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,418,548,220,141,84,1846,439.5,354,4127.5,151.5,356,1093,2986,580
X33,A5,PL2_30min_X33_05A_DME_IKK,1,1,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,564,552.5,107,127,68,2124.5,521,293,2332,127,274,1063,2666,603
