TR:HepG2:Cell type,TR:PriHu:Cell type,TR:NO-LIG:Stimuli,TR:TGFa:Stimuli,TR:NO-INHIB:Inhibitors,TR:MEK12i:Inhibitors,TR:p38i:Inhibitors,TR:PI3Ki:Inhibitors,TR:mTORrapi:Inhibitors,TR:GSK3i:Inhibitors,TR:JNKi:Inhibitors,DA:AKT,DA:ERK12,DA:GSK3,DA:JNK,DA:p38,DA:p70S61,DA:p90RSK,DA:STAT3,DA:CREB,DA:HSP27,DA:MEK12,DV:AKT,DV:ERK12,DV:GSK3,DV:JNK,DV:p38,DV:p70S61,DV:p90RSK,DV:STAT3,DV:CREB,DV:HSP27,DV:MEK12
1,,,1,,1,,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,24905.000000,128.000000,4261.000000,340.000000,169.000000,11552.000000,161.000000,97.000000,646.000000,526.000000,24018.000000
1,,,1,,1,,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,16614.000000,519.000000,5455.000000,152.000000,115.000000,5769.000000,132.000000,149.000000,286.000000,448.000000,24656.000000
,1,,1,,1,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4544.000000,89.000000,905.000000,122.000000,140.000000,3204.000000,90.000000,27.000000,545.000000,6478.000000,16244.000000
,1,,1,,1,,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,20756.000000,725.000000,2622.000000,323.000000,402.000000,14347.000000,656.000000,46.000000,1114.000000,15845.000000,25214.000000
,1,,1,,1,,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,7097.000000,766.000000,2847.000000,285.000000,312.000000,9407.000000,762.000000,63.000000,682.000000,11662.000000,24623.000000
1,,1,,,,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11324.000000,418.000000,1853.000000,91.000000,24.000000,4035.000000,323.000000,92.000000,349.000000,420.000000,5352.000000
1,,1,,,,1,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,14109.000000,176.000000,1450.000000,125.000000,25.000000,4388.000000,297.000000,75.000000,451.000000,500.000000,4887.000000
1,,1,,,,1,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,8540.000000,660.000000,2255.000000,58.000000,23.000000,3683.000000,348.000000,109.000000,247.000000,340.000000,5817.000000
,1,1,,,,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5108.000000,240.000000,945.000000,114.000000,73.000000,2917.000000,202.000000,35.000000,501.000000,1531.000000,2079.000000
,1,1,,,,1,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,6296.000000,136.000000,541.000000,147.000000,76.000000,3616.000000,217.000000,46.000000,588.000000,1785.000000,1921.000000
,1,1,,,,1,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,3921.000000,345.000000,1348.000000,81.000000,71.000000,2219.000000,187.000000,24.000000,413.000000,1277.000000,2237.000000
1,,,1,,,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11324.000000,418.000000,1853.000000,91.000000,24.000000,4035.000000,323.000000,92.000000,349.000000,420.000000,5352.000000
1,,,1,,,1,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,23161.000000,1326.000000,3999.000000,185.000000,74.000000,18723.000000,1582.000000,49.000000,2258.000000,546.000000,16460.000000
1,,,1,,,1,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,9588.000000,2560.000000,4532.000000,256.000000,132.000000,13859.000000,1113.000000,479.000000,535.000000,432.000000,17798.000000
,1,,1,,,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5108.000000,240.000000,945.000000,114.000000,73.000000,2917.000000,202.000000,35.000000,501.000000,1531.000000,2079.000000
,1,,1,,,1,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,14705.000000,3846.000000,3235.000000,508.000000,258.000000,16077.000000,2205.000000,30.000000,1293.000000,2746.000000,23612.000000
,1,,1,,,1,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,6439.000000,3978.000000,5262.000000,282.000000,201.000000,12194.000000,1549.000000,39.000000,694.000000,2753.000000,23504.000000
1,,1,,,,,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5203.000000,505.000000,976.000000,59.000000,43.000000,2678.000000,308.000000,88.000000,285.000000,350.000000,6449.000000
1,,1,,,,,1,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,5889.000000,204.000000,587.000000,81.000000,38.000000,2524.000000,289.000000,67.000000,343.000000,404.000000,6138.000000
1,,1,,,,,1,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,4518.000000,805.000000,1364.000000,38.000000,48.000000,2832.000000,327.000000,109.000000,227.000000,296.000000,6761.000000
,1,1,,,,,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2796.000000,212.000000,601.000000,159.000000,118.000000,1576.000000,165.000000,27.000000,483.000000,5998.000000,1799.000000
,1,1,,,,,1,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,4011.000000,107.000000,549.000000,216.000000,119.000000,2166.000000,222.000000,35.000000,596.000000,7190.000000,1937.000000
,1,1,,,,,1,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,1581.000000,317.000000,652.000000,101.000000,116.000000,986.000000,107.000000,18.000000,371.000000,4805.000000,1660.000000
1,,,1,,,,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5203.000000,505.000000,976.000000,59.000000,43.000000,2678.000000,308.000000,88.000000,285.000000,350.000000,6449.000000
1,,,1,,,,1,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,8147.000000,1390.000000,2855.000000,161.000000,157.000000,15683.000000,1658.000000,46.000000,2469.000000,528.000000,16922.000000
1,,,1,,,,1,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,5660.000000,2719.000000,3522.000000,203.000000,235.000000,9406.000000,970.000000,357.000000,690.000000,473.000000,21362.000000
,1,,1,,,,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2796.000000,212.000000,601.000000,159.000000,118.000000,1576.000000,165.000000,27.000000,483.000000,5998.000000,1799.000000
,1,,1,,,,1,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,5053.000000,4406.000000,3525.000000,386.000000,353.000000,11129.000000,1688.000000,38.000000,1515.000000,20845.000000,23076.000000
,1,,1,,,,1,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,4463.000000,3838.000000,4100.000000,167.000000,471.000000,8955.000000,1023.000000,24.000000,701.000000,11566.000000,22855.000000
1,,1,,,,,,1,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11737.000000,492.000000,1803.000000,64.000000,34.000000,1990.000000,293.000000,91.000000,304.000000,335.000000,5226.000000
1,,1,,,,,,1,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,14643.000000,229.000000,1557.000000,100.000000,29.000000,1604.000000,253.000000,91.000000,307.000000,392.000000,4670.000000
1,,1,,,,,,1,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,8830.000000,755.000000,2048.000000,28.000000,39.000000,2376.000000,333.000000,92.000000,301.000000,277.000000,5781.000000
,1,1,,,,,,1,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4269.000000,256.000000,1101.000000,117.000000,113.000000,1205.000000,153.000000,27.000000,510.000000,4938.000000,1903.000000
,1,1,,,,,,1,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,6402.000000,160.000000,957.000000,185.000000,101.000000,1612.000000,184.000000,29.000000,575.000000,5302.000000,2049.000000
,1,1,,,,,,1,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,2137.000000,352.000000,1246.000000,49.000000,126.000000,797.000000,121.000000,25.000000,445.000000,4574.000000,1758.000000
1,,,1,,,,,1,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11737.000000,492.000000,1803.000000,64.000000,34.000000,1990.000000,293.000000,91.000000,304.000000,335.000000,5226.000000
1,,,1,,,,,1,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,23081.000000,1229.000000,3780.000000,171.000000,98.000000,13642.000000,1695.000000,38.000000,2612.000000,507.000000,15247.000000
1,,,1,,,,,1,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,8349.000000,2431.000000,3825.000000,152.000000,174.000000,8901.000000,941.000000,554.000000,791.000000,414.000000,14726.000000
,1,,1,,,,,1,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4269.000000,256.000000,1101.000000,117.000000,113.000000,1205.000000,153.000000,27.000000,510.000000,4938.000000,1903.000000
,1,,1,,,,,1,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,14491.000000,3339.000000,2886.000000,430.000000,285.000000,9534.000000,1374.000000,24.000000,1269.000000,19842.000000,23728.000000
,1,,1,,,,,1,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,6308.000000,5354.000000,5200.000000,163.000000,371.000000,8435.000000,1350.000000,33.000000,799.000000,13239.000000,23612.000000
1,,1,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10747.000000,437.000000,2064.000000,46.000000,59.000000,3275.000000,268.000000,74.000000,312.000000,334.000000,5228.000000
1,,1,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,11599.000000,167.000000,1235.000000,60.000000,25.000000,2861.000000,207.000000,56.000000,291.000000,356.000000,4745.000000
1,,1,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,9896.000000,706.000000,2893.000000,32.000000,94.000000,3688.000000,328.000000,92.000000,332.000000,311.000000,5711.000000
,1,1,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4215.000000,280.000000,1020.000000,113.000000,129.000000,3027.000000,194.000000,35.000000,635.000000,6191.000000,1956.000000
,1,1,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,5485.000000,193.000000,720.000000,172.000000,126.000000,3616.000000,218.000000,47.000000,662.000000,6306.000000,1954.000000
,1,1,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,2944.000000,367.000000,1320.000000,54.000000,133.000000,2437.000000,170.000000,23.000000,608.000000,6075.000000,1958.000000
1,,,1,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10747.000000,437.000000,2064.000000,46.000000,59.000000,3275.000000,268.000000,74.000000,312.000000,334.000000,5228.000000
1,,,1,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,22125.000000,1066.000000,4250.000000,155.000000,141.000000,18410.000000,1580.000000,32.000000,2783.000000,467.000000,15427.000000
1,,,1,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,9527.000000,2781.000000,5395.000000,185.000000,215.000000,12787.000000,975.000000,722.000000,819.000000,359.000000,15915.000000
,1,,1,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4215.000000,280.000000,1020.000000,113.000000,129.000000,3027.000000,194.000000,35.000000,635.000000,6191.000000,1956.000000
,1,,1,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,10984.000000,3228.000000,2893.000000,395.000000,299.000000,11616.000000,1341.000000,26.000000,1336.000000,18933.000000,23748.000000
,1,,1,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,2893.000000,4276.000000,3945.000000,109.000000,282.000000,8085.000000,773.000000,23.000000,698.000000,9461.000000,19624.000000
1,,1,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5832.000000,507.000000,554.000000,23.000000,43.000000,1050.000000,193.000000,46.000000,225.000000,242.000000,5739.000000
1,,1,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,7047.000000,162.000000,450.000000,24.000000,45.000000,1205.000000,169.000000,32.000000,321.000000,275.000000,5757.000000
1,,1,,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,4618.000000,853.000000,657.000000,22.000000,40.000000,896.000000,218.000000,59.000000,130.000000,208.000000,5722.000000
,1,1,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3336.000000,78.000000,384.000000,122.000000,175.000000,128.000000,79.000000,16.000000,538.000000,8616.000000,835.000000
,1,1,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,4720.000000,58.000000,340.000000,220.000000,189.000000,255.000000,129.000000,22.000000,671.000000,10036.000000,1008.000000
,1,1,,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,1953.000000,98.000000,428.000000,23.000000,160.000000,0.000000,29.000000,10.000000,405.000000,7195.000000,661.000000
1,,,1,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5832.000000,507.000000,554.000000,23.000000,43.000000,1050.000000,193.000000,46.000000,225.000000,242.000000,5739.000000
1,,,1,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,16227.000000,1335.000000,2570.000000,81.000000,173.000000,15082.000000,1318.000000,28.000000,2775.000000,350.000000,15975.000000
1,,,1,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,4267.000000,3112.000000,2486.000000,77.000000,127.000000,8244.000000,835.000000,398.000000,508.000000,194.000000,16393.000000
,1,,1,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3336.000000,78.000000,384.000000,122.000000,175.000000,128.000000,79.000000,16.000000,538.000000,8616.000000,835.000000
,1,,1,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,6983.000000,4037.000000,1738.000000,122.000000,326.000000,8021.000000,799.000000,12.000000,1002.000000,15391.000000,22613.000000
,1,,1,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,2341.000000,4871.000000,1983.000000,83.000000,275.000000,4367.000000,513.000000,10.000000,672.000000,10215.000000,18782.000000
