TR:HepG2:CellLine,TR:TGFa,TR:IL1a,TR:IGF1,TR:IL6,TR:NOINHIB,TR:MEKi,TR:P38i,TR:PI3Ki,TR:IKKi,TR:EGFRi,DA:AKT,DA:ERK,DA:GSK3,DA:Ikb,DA:JNK,DA:p38,DA:p70S6,DA:p90RSK,DA:STAT3,DA:cJUN,DA:CREB,DA:HSP27 ,DA:IRS-1s ,DA:MEK ,DA:p53 ,DV:AKT ,DV:ERK ,DV:GSK3 ,DV:Ikb ,DV:JNK ,DV:p38 ,DV:p70S6 ,DV:p90RSK ,DV:STAT3 ,DV:cJUN ,DV:CREB ,DV:HSP27 ,DV:IRS-1s ,DV:MEK ,DV:p53 
1,,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,418,548,220,141,84,1846,439.5,354,4127.5,151.5,356,1093,2986,580
1,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,564,552.5,107,127,68,2124.5,521,293,2332,127,274,1063,2666,603
1,1,,,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3135,2555,1529,108,170.5,154,10650,1707,292.5,4349.5,587,268,4254.5,6776,962
1,,1,,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,771,931,1411,267,1958.5,1653,13247,892,180,10601,1947,5639,6549,4929,1244
1,,,1,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22962,720.5,2714.5,117.5,135.5,87,4735.5,563.5,368.5,3136.5,130,251,1578,3822.5,890
1,,,,1,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2004,1363,1438,122,150,80,6997,1203,14971,2882,296,260,2320.5,6046,673
1,1,,1,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23135,2853.5,3422,126.5,176,127,15915,1970.5,259.5,3767,851,260.5,4861,7635,763
1,,1,,1,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,710,1614,1982.5,229,1854,1836,15486,1783,14626,10461,2583,6593,7072,6238,1292
1,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,542.5,581,119,135.5,75,2088,521.5,415,3102.5,115,301.5,1275,3456,969
1,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,326,644,173,104,67.5,1326.5,469,235.5,2465,115,291,681,2388,403
1,1,,,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3248,347,1091,139,103.5,60.5,1578,436,284,3048.5,108.5,268,928,2537,532.5
1,,1,,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2270,788,905,4584,1986,2268,14057.5,654,152,15895,1887.5,3209.5,6844,5004,1233.5
1,,,1,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23511,345,2704,202,146,61,3870,431,323,3106,152.5,344,1161,2281.5,442.5
1,,,,1,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3014,1011.5,1251,197.5,137,150.5,5825.5,923,15371,4291,301,289,2092,4553,441
1,1,,1,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22115,353,2005,208.5,143,47,3689.5,401,265.5,2736,125.5,270.5,936,2345.5,505.5
1,,1,,1,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1195,1126,1367,5311,2182,1762.5,15330,1582,11455,15814,2379.5,3858.5,6798,6367,1286
1,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3420,308.5,739,233,140,67,1331,355.5,403,3915,156,270,1097.5,2942,608.5
1,,,,,,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.5,167,1169.5,160,126,41,669,243,333.5,3178.5,174,239,550,2786.5,617
1,1,,,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8466.5,173,1169,264,173,77,1244,251,368,5996,139,339,857,11357,670.5
1,,1,,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,623,184,901,6599,2097,2390.5,14101,237,157,18049,2412.5,6004,6746,7418,1278
1,,,1,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,12778,178,2124,222,169.5,41,1064.5,254,368,3087,177,333,854,3398,699
1,,,,1,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1006,139,965,141,117,51.5,722,197.5,14941,2974,139,247,520.5,4756,503
1,1,,1,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22061,167,2410,163,151,101.5,2053.5,219,424,6126,197,252,857.5,12187.5,546
1,,1,,1,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1068,173,960,3935,1991,1430,12337.5,241,11667.5,16189,2251,5874,5682.5,9347,1092
1,,,,,,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,158,829,156.5,127,40,707,190.5,412.5,3204.5,175,237,632.5,2376,554
1,,,,,,,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,417,392,217,111.5,63,1568.5,501,254,4066.5,132.5,254,786,3074,544
1,1,,,,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,564.5,1605,1264,222,144,66,9145.5,1702,196.5,6186,393,264.5,3050.5,6747.5,510
1,,1,,,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,321.5,861,1277.5,4297,1934,813,14310,987.5,106,17479,1759,1061,5862.5,5688.5,1027.5
1,,,1,,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,9005,427,1858.5,178,146,55,2411,519,257.5,4327.5,180,301.5,1137.5,2734,495
1,,,,1,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,403,980,936.5,176,159,152,4853.5,1081,14514,5964.5,304,258,2032,3954.5,530
1,1,,1,,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10860,2468,2599,211,175,93,12486,1916,184,6611,755,280,4504,7590.5,489
1,,1,,1,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,260,1373.5,1399,4841.5,1931,1891,14579,1456.5,11591,15359,2557,1234,7211,6552.5,1016.5
1,,,,,,,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.5,370,753.5,187.5,150,64,1608,481,344,4107.5,236,263,1016,3477.5,615
1,,,,,,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.5,592,849,98,142,50,1641,643,327.5,2203,128,203,795,2553,619
1,1,,,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,183,1845,682,91.5,131,123,7408,1430,273,2280,410,277,2736,4897.5,616
1,,1,,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,209,928,1135,370,1836,1849,13276,751.5,208,12499,1783,4935,5280,3925,1195
1,,,1,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1711,741,1421,109,129,77,2360,568.5,309,2495,170,241,1042,3248,541
1,,,,1,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,186,1184,998,113,129.5,82,4752,952,15255,3422,270,240,1845.5,3579,683
1,1,,1,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2496,3054,3201.5,114,168,141,11648,2120,284,4623,873.5,244,4442,7635,827
1,,1,,1,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,242,1576,1541.5,232,1769,1427.5,12848,1353.5,10575.5,11290,2328,5341,5844,5721,1013.5
1,,,,,,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.5,511,443,118,114,58,1554.5,531,427,2764.5,117,222,771.5,2978,786
1,,,,,,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4449.5,146,370,164.5,111,34,682,236.5,271,1690,111.5,241,576,2151.5,506.5
1,1,,,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23173,156,1759,182,132.5,50,2138,239,245,3481,110.5,238.5,868,10212,498
1,,1,,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5488.5,165.5,1089.5,3306,1519,763.5,12484,224,129.5,11507,1138,800.5,6027.5,6261,1045
